Dimension,Feature Vector Length,Generatng Inputs Time,Heston Pricing Time,Saving Time,Total Time Taken
1,9,0.00978994369506836,0.27933621406555176,0.0,0.29034996032714844
4,15,0.0026738643646240234,1.0936830043792725,0.0,1.0983901023864746
7,21,0.002377033233642578,1.9308137893676758,0.0,1.9357450008392334
10,27,0.0022759437561035156,2.7472119331359863,0.0,2.7527949810028076
13,33,0.002382040023803711,3.5706698894500732,0.0,3.5770821571350098
16,39,0.0022017955780029297,4.3511950969696045,0.0,4.358215808868408
