Dimension,Feature Vector Length,Generating Inputs Time,Heston Pricing Time,Saving Time,Total Time Taken
1,9,0.006751060485839844,0.2779550552368164,0.0032389163970947266,0.2893400192260742
4,15,0.002444028854370117,1.0872790813446045,0.0014009475708007812,1.0929579734802246
7,21,0.0023651123046875,1.9036381244659424,0.0015971660614013672,1.9102692604064941
10,27,0.0022537708282470703,2.7142422199249268,0.0018978118896484375,2.72174072265625
13,33,0.002309083938598633,3.535390853881836,0.002195119857788086,3.5439460277557373
16,39,0.002223968505859375,4.364242076873779,0.0025680065155029297,4.373716831207275
