Dimension,Feature Vector Length,Generating Inputs Time,Heston Pricing Time,Saving Time,Total Time Taken
1,9,0.04685711860656738,5.395159006118774,0.01029205322265625,5.454861164093018
4,15,0.03637886047363281,21.74789595603943,0.013936042785644531,21.804358959197998
7,21,0.03615593910217285,37.924724102020264,0.019062042236328125,37.98993420600891
10,27,0.03618812561035156,54.14101791381836,0.023737192153930664,54.21461296081543
13,33,0.03635287284851074,70.36493611335754,0.027123212814331055,70.44690084457397
16,39,0.036566972732543945,88.8267731666565,0.03985190391540527,88.9451231956482
